8277	2	233.89	19354	41709	
8278	2	93.06	41683	46365	
8279	3	96.11	20958	41683	
8280	3	99.45	41686	41764	
8281	3	14.18	41683	19329	
8282	2	56.39	19329	41681	
8283	2	111.7	41686	19318	
8284	2	173.34	19315	41764	
8285	3	104.44	41701	41691	
8286	3	104.91	41709	41701	
8292	2	100.55	-1	41701	
8293	2	73.12	41709	-1	
8294	2	105.41	-1	41714	
8295	2	100.83	41714	19201	
8296	2	104.86	19201	19191	
8297	2	115.64	19191	41729	
8298	2	96.67	41729	41744	
8299	2	103.33	41744	41754	
8300	2	106.12	41754	19255	
8301	2	107.13	19255	41769	
8302	2	158.06	41769	19312	
8313	4	107.77	41714	-1	
8316	1	111.23	-1	41729	
8319	4	108.05	-1	41744	
8322	4	112.1	41754	-1	
8325	3	106.11	41764	41769	
8326	3	103.9	41769	-1	
8338	6	18.68	41892	41895	
8342	2	174.54	46668	41923	
8343	2	152.92	20752	41927	
8344	2	15.52	41923	20752	
8345	2	100.63	41945	46668	
8346	2	160.9	41927	41950	
8348	5	201.83	-1	41950	
8349	2	28.33	41947	41937	
8350	5	31.75	41950	41937	
8352	3	50.57	41961	54865	
8353	3	19.34	54865	41964	
8354	3	12.76	41967	54858	
8355	3	40.12	41970	41977	
8356	3	103.85	54849	41970	
8357	3	53.85	41977	54849	
8358	3	77.31	41979	54839	
8359	3	44.73	41982	41985	
8428	3	123.25	-1	42325	
8430	3	115.34	44123	-1	
8433	4	69.92	42325	42341	
8435	4	23.66	42341	42344	
8436	4	108.06	42344	42349	
8437	4	75.74	42349	42352	
8438	4	15.91	42352	42355	
8439	4	108.44	42355	42360	
8441	2	134.74	44125	42393	
8443	2	130.7	42393	42360	
8445	2	54.49	42414	44335	
8447	2	57.58	44335	42414	
8448	2	24.5	43728	43717	
8449	2	20.85	43717	43728	
8450	2	83.35	43717	43712	
8452	2	90.95	43712	43717	
8454	2	62.77	43712	43706	
8455	2	60.49	43706	43712	
8456	3	64.7	43706	42886	
8457	2	65.69	42886	43706	
8458	2	27.37	42886	42890	
8459	2	27.96	42893	42886	
8460	4	61.5	42896	42893	
8462	2	64.61	42890	42896	
