Node_Id	x_coord	y_coord
44123	429165.63	4580599.874
44125	429200.509	4581212.899
52319	428931.24	4583285.128
44128	429436.948	4581447.407
46177	428900.304	4581179.865
46184	428767.978	4581179.938
23399	431163.253	4582684.707
46191	431215.044	4581703.902
46611	431946.662	4582020.29
46198	429171.067	4581311.246
54799	431180.474	4581309.45
46205	430510.403	4581726.714
46211	428902.119	4581045.885
46218	432388.691	4582279.732
23063	432589.158	4581813.654
19596	429304.512	4581706.893
46225	432390.064	4582414.733
19603	429437.46	4581753.813
46232	432391.116	4582545.7
46239	432390.735	4582684.599
46246	432391.286	4582820.408
46253	432390.806	4582952.748
46260	432130.541	4582950.313
42167	431231.744	4581167.181
19642	431838.868	4581016.2
46267	432262.265	4582820.444
42175	431139.59	4581170.981
46274	432262.666	4582684.726
42182	431316.155	4581149.348
46281	432132.821	4582685.795
46288	432130.576	4582547.758
45603	429839.639	4582014.628
54784	430645.613	4581579.119
46295	432261.398	4582547.442
46302	432127.571	4582414.585
44923	428770.067	4582414.335
46309	432259.648	4582414.034
46316	432127.519	4582279.838
46323	432259.871	4582277.897
44279	429420.308	4581393.614
46330	431719.934	4582279.665
46337	431869.758	4582278.898
46344	432000.806	4582278.127
46351	431719.958	4582009.813
46358	431720.144	4581875.383
46365	431999.769	4581876.065
46370	431718.282	4581711.788
44326	431314.157	4581171.618
46377	432000.206	4581714.217
44335	429394.141	4581375.082
46390	432128.961	4582011.244
46395	430914.166	4581579.491
46402	431043.786	4581579.873
44355	431316.319	4581224.635
44358	431193.527	4581171.172
46409	431314.963	4581579.919
54839	429012.013	4580765.733
45345	429304.351	4582147.905
46419	431582.934	4581581.116
42325	429155.172	4580631.339
46424	431718.498	4581581.072
46431	431183.569	4581581.875
44944	429438.233	4582413.56
44387	429035.11	4583226.259
42341	429173.925	4580732.719
44392	429167.693	4583219.744
46441	430327.225	4581579.261
42349	429161.904	4580910.677
46446	429974.445	4581624.303
44399	429304.252	4583220.17
42352	429174.442	4581009.223
42355	429161.106	4581046.271
46453	429977.865	4581726.645
44406	429392.237	4582153.389
42360	429174.664	4581190.732
44409	428899.602	4583080.765
46460	428765.951	4583077.86
19349	432127.223	4581626.036
44416	429068.382	4583084.325
46470	428632.096	4582948.426
44423	429025.707	4583078.673
44426	429167.454	4583085.871
44951	429574.65	4582415.076
46477	428631.709	4582814.96
44433	429305.364	4583086.245
46484	428768.313	4582816.34
44440	429440.799	4583084.457
42393	429307.581	4581309.816
46491	428498.404	4582815.648
44447	428900.459	4582949.412
46498	429705.204	4581729.478
45979	430912.662	4581726.484
44454	429034.003	4582953.321
44457	429574.304	4583085.487
42414	429346.891	4581333.376
44464	429163.866	4582953.556
46518	432127.725	4582146.46
44473	429305.023	4582950.056
46525	432001.387	4582148.548
44480	429439.843	4582949.918
46532	431868.539	4582146.59
44487	429575.192	4582952.075
46539	431863.043	4582060.836
45986	431045.494	4581721.97
44494	429708.87	4582953.813
42450	430308.396	4581354.846
44501	429841.642	4582947.805
46552	431851.66	4582009.07
19364	431850.297	4581309.461
44506	428896.289	4582816.998
42461	430431.945	4581364.5
44510	429175.92	4582816.047
42464	430511.442	4581385.829
44515	429304.888	4582817.465
54865	428613.362	4581169.087
44522	429440.146	4582817.775
54763	430315.392	4581511.45
46572	431849.893	4581737.415
44529	429574.253	4582818.113
45728	428769.339	4581879.071
54773	428356.011	4581432.565
